Learner ID,Bubble sort,Quick sort,Selection Sort,Merge sort,Insertion sort
Learner132,"['self-assesment', 'additional reading material', 'real life application']","['commentary', 'self-assesment', 'videos']","['quiz', 'real life application', 'additional reading material']","['real life application', 'quiz', 'commentary']","['quiz', 'exmaple', 'self-assesment']"
Learner133,"['quiz', 'additional reading material', 'exmaple']","['videos', 'additional reading material', 'self-assesment']","['videos', 'commentary', 'self-assesment']","['real life application', 'additional reading material', 'exmaple']","['quiz', 'videos', 'real life application']"
Learner134,"['additional reading material', 'real life application', 'videos']","['commentary', 'videos', 'real life application']","['self-assesment', 'commentary', 'additional reading material']","['videos', 'real life application', 'self-assesment']","['additional reading material', 'commentary', 'quiz']"
Learner135,"['videos', 'self-assesment', 'real life application']","['real life application', 'exmaple', 'videos']","['quiz', 'additional reading material', 'self-assesment']","['exmaple', 'quiz', 'additional reading material']","['quiz', 'real life application', 'commentary']"
Learner136,"['exmaple', 'real life application', 'videos']","['self-assesment', 'real life application', 'exmaple']","['videos', 'additional reading material', 'quiz']","['additional reading material', 'real life application', 'quiz']","['real life application', 'commentary', 'additional reading material']"
Learner137,"['commentary', 'quiz', 'self-assesment']","['real life application', 'commentary', 'exmaple']","['commentary', 'quiz', 'videos']","['commentary', 'additional reading material', 'exmaple']","['commentary', 'additional reading material', 'self-assesment']"
Learner138,"['commentary', 'videos', 'self-assesment']","['quiz', 'additional reading material', 'exmaple']","['quiz', 'self-assesment', 'real life application']","['additional reading material', 'exmaple', 'videos']","['additional reading material', 'exmaple', 'quiz']"
Learner139,"['videos', 'additional reading material', 'real life application']","['videos', 'exmaple', 'commentary']","['videos', 'self-assesment', 'additional reading material']","['real life application', 'exmaple', 'self-assesment']","['videos', 'self-assesment', 'quiz']"
Learner140,"['exmaple', 'self-assesment', 'real life application']","['commentary', 'real life application', 'self-assesment']","['commentary', 'additional reading material', 'exmaple']","['self-assesment', 'real life application', 'quiz']","['videos', 'commentary', 'quiz']"
Learner141,"['additional reading material', 'quiz', 'real life application']","['commentary', 'quiz', 'self-assesment']","['commentary', 'self-assesment', 'videos']","['real life application', 'quiz', 'videos']","['real life application', 'self-assesment', 'commentary']"
Learner142,"['exmaple', 'self-assesment', 'quiz']","['quiz', 'videos', 'exmaple']","['quiz', 'commentary', 'self-assesment']","['videos', 'additional reading material', 'exmaple']","['self-assesment', 'videos', 'quiz']"
Learner143,"['commentary', 'exmaple', 'real life application']","['exmaple', 'videos', 'additional reading material']","['self-assesment', 'videos', 'real life application']","['exmaple', 'self-assesment', 'additional reading material']","['exmaple', 'quiz', 'videos']"
Learner144,"['exmaple', 'self-assesment', 'real life application']","['commentary', 'videos', 'exmaple']","['commentary', 'videos', 'quiz']","['self-assesment', 'additional reading material', 'exmaple']","['commentary', 'real life application', 'exmaple']"
Learner145,"['videos', 'real life application', 'self-assesment']","['quiz', 'videos', 'self-assesment']","['real life application', 'additional reading material', 'self-assesment']","['exmaple', 'additional reading material', 'real life application']","['additional reading material', 'videos', 'exmaple']"
Learner146,"['videos', 'additional reading material', 'exmaple']","['real life application', 'additional reading material', 'quiz']","['exmaple', 'additional reading material', 'commentary']","['exmaple', 'additional reading material', 'real life application']","['real life application', 'videos', 'quiz']"
Learner147,"['quiz', 'additional reading material', 'exmaple']","['real life application', 'commentary', 'self-assesment']","['commentary', 'real life application', 'additional reading material']","['real life application', 'exmaple', 'videos']","['exmaple', 'additional reading material', 'commentary']"
Learner148,"['self-assesment', 'videos', 'exmaple']","['quiz', 'commentary', 'additional reading material']","['commentary', 'quiz', 'self-assesment']","['quiz', 'additional reading material', 'self-assesment']","['additional reading material', 'commentary', 'real life application']"
Learner149,"['additional reading material', 'self-assesment', 'quiz']","['commentary', 'self-assesment', 'videos']","['commentary', 'additional reading material', 'exmaple']","['videos', 'self-assesment', 'commentary']","['real life application', 'videos', 'self-assesment']"
Learner150,"['quiz', 'exmaple', 'additional reading material']","['commentary', 'additional reading material', 'exmaple']","['self-assesment', 'videos', 'commentary']","['videos', 'real life application', 'commentary']","['self-assesment', 'videos', 'quiz']"
Learner151,"['exmaple', 'videos', 'self-assesment']","['exmaple', 'videos', 'real life application']","['real life application', 'self-assesment', 'additional reading material']","['exmaple', 'additional reading material', 'real life application']","['self-assesment', 'commentary', 'additional reading material']"
Learner152,"['self-assesment', 'additional reading material', 'quiz']","['additional reading material', 'real life application', 'quiz']","['self-assesment', 'quiz', 'exmaple']","['real life application', 'self-assesment', 'exmaple']","['additional reading material', 'self-assesment', 'exmaple']"
Learner153,"['videos', 'commentary', 'self-assesment']","['exmaple', 'self-assesment', 'additional reading material']","['additional reading material', 'commentary', 'videos']","['commentary', 'exmaple', 'quiz']","['videos', 'commentary', 'additional reading material']"
Learner154,"['videos', 'self-assesment', 'additional reading material']","['videos', 'quiz', 'exmaple']","['commentary', 'quiz', 'additional reading material']","['videos', 'exmaple', 'quiz']","['real life application', 'additional reading material', 'exmaple']"
Learner155,"['quiz', 'real life application', 'additional reading material']","['commentary', 'additional reading material', 'self-assesment']","['videos', 'real life application', 'commentary']","['additional reading material', 'exmaple', 'quiz']","['real life application', 'self-assesment', 'additional reading material']"
Learner156,"['commentary', 'real life application', 'additional reading material']","['self-assesment', 'quiz', 'exmaple']","['real life application', 'videos', 'additional reading material']","['real life application', 'self-assesment', 'videos']","['quiz', 'commentary', 'exmaple']"
Learner157,"['videos', 'commentary', 'exmaple']","['self-assesment', 'exmaple', 'videos']","['commentary', 'quiz', 'self-assesment']","['commentary', 'self-assesment', 'exmaple']","['commentary', 'additional reading material', 'real life application']"
Learner158,"['videos', 'commentary', 'additional reading material']","['quiz', 'exmaple', 'commentary']","['real life application', 'commentary', 'quiz']","['additional reading material', 'commentary', 'exmaple']","['additional reading material', 'quiz', 'real life application']"
Learner159,"['real life application', 'videos', 'quiz']","['videos', 'self-assesment', 'real life application']","['commentary', 'additional reading material', 'exmaple']","['quiz', 'exmaple', 'videos']","['exmaple', 'self-assesment', 'quiz']"
Learner160,"['exmaple', 'additional reading material', 'videos']","['quiz', 'videos', 'additional reading material']","['videos', 'commentary', 'quiz']","['quiz', 'real life application', 'videos']","['exmaple', 'real life application', 'videos']"
Learner161,"['self-assesment', 'videos', 'commentary']","['exmaple', 'real life application', 'additional reading material']","['self-assesment', 'additional reading material', 'real life application']","['real life application', 'additional reading material', 'exmaple']","['commentary', 'real life application', 'exmaple']"
Learner162,"['additional reading material', 'exmaple', 'commentary']","['quiz', 'real life application', 'videos']","['commentary', 'videos', 'additional reading material']","['quiz', 'additional reading material', 'videos']","['quiz', 'exmaple', 'videos']"
Learner163,"['self-assesment', 'commentary', 'videos']","['exmaple', 'additional reading material', 'self-assesment']","['self-assesment', 'real life application', 'commentary']","['videos', 'additional reading material', 'commentary']","['commentary', 'videos', 'quiz']"
Learner164,"['exmaple', 'videos', 'commentary']","['real life application', 'additional reading material', 'commentary']","['real life application', 'additional reading material', 'videos']","['commentary', 'videos', 'self-assesment']","['videos', 'real life application', 'self-assesment']"
Learner165,"['self-assesment', 'exmaple', 'videos']","['additional reading material', 'real life application', 'commentary']","['videos', 'self-assesment', 'real life application']","['quiz', 'commentary', 'self-assesment']","['additional reading material', 'quiz', 'exmaple']"
Learner166,"['commentary', 'additional reading material', 'videos']","['videos', 'real life application', 'commentary']","['additional reading material', 'quiz', 'self-assesment']","['self-assesment', 'commentary', 'additional reading material']","['additional reading material', 'exmaple', 'quiz']"
Learner167,"['videos', 'exmaple', 'additional reading material']","['self-assesment', 'videos', 'exmaple']","['exmaple', 'real life application', 'self-assesment']","['real life application', 'quiz', 'videos']","['additional reading material', 'self-assesment', 'quiz']"
Learner168,"['real life application', 'videos', 'exmaple']","['additional reading material', 'real life application', 'videos']","['commentary', 'real life application', 'self-assesment']","['quiz', 'self-assesment', 'additional reading material']","['commentary', 'videos', 'real life application']"
Learner169,"['quiz', 'videos', 'commentary']","['self-assesment', 'real life application', 'exmaple']","['additional reading material', 'videos', 'quiz']","['quiz', 'videos', 'commentary']","['videos', 'quiz', 'commentary']"
Learner170,"['videos', 'commentary', 'self-assesment']","['real life application', 'exmaple', 'self-assesment']","['videos', 'real life application', 'self-assesment']","['self-assesment', 'commentary', 'videos']","['videos', 'self-assesment', 'real life application']"
Learner171,"['additional reading material', 'commentary', 'quiz']","['real life application', 'exmaple', 'quiz']","['exmaple', 'quiz', 'real life application']","['self-assesment', 'additional reading material', 'commentary']","['quiz', 'videos', 'self-assesment']"
Learner172,"['commentary', 'self-assesment', 'additional reading material']","['real life application', 'quiz', 'exmaple']","['quiz', 'real life application', 'self-assesment']","['self-assesment', 'exmaple', 'real life application']","['self-assesment', 'real life application', 'commentary']"
Learner173,"['videos', 'real life application', 'quiz']","['videos', 'additional reading material', 'real life application']","['real life application', 'videos', 'additional reading material']","['additional reading material', 'quiz', 'exmaple']","['videos', 'quiz', 'exmaple']"
Learner174,"['self-assesment', 'real life application', 'commentary']","['real life application', 'additional reading material', 'quiz']","['additional reading material', 'exmaple', 'videos']","['videos', 'additional reading material', 'exmaple']","['videos', 'exmaple', 'self-assesment']"
Learner175,"['videos', 'quiz', 'self-assesment']","['quiz', 'videos', 'real life application']","['additional reading material', 'self-assesment', 'commentary']","['real life application', 'commentary', 'videos']","['videos', 'self-assesment', 'commentary']"
Learner176,"['exmaple', 'real life application', 'videos']","['commentary', 'videos', 'real life application']","['exmaple', 'videos', 'quiz']","['exmaple', 'self-assesment', 'videos']","['exmaple', 'additional reading material', 'self-assesment']"
Learner177,"['commentary', 'real life application', 'exmaple']","['commentary', 'exmaple', 'videos']","['commentary', 'self-assesment', 'quiz']","['additional reading material', 'real life application', 'quiz']","['additional reading material', 'quiz', 'self-assesment']"
Learner178,"['exmaple', 'self-assesment', 'real life application']","['additional reading material', 'videos', 'real life application']","['real life application', 'quiz', 'additional reading material']","['real life application', 'videos', 'quiz']","['quiz', 'commentary', 'additional reading material']"
Learner179,"['additional reading material', 'self-assesment', 'videos']","['commentary', 'real life application', 'exmaple']","['self-assesment', 'videos', 'commentary']","['additional reading material', 'exmaple', 'quiz']","['exmaple', 'quiz', 'additional reading material']"
Learner180,"['self-assesment', 'commentary', 'additional reading material']","['commentary', 'videos', 'quiz']","['real life application', 'commentary', 'quiz']","['videos', 'real life application', 'exmaple']","['quiz', 'commentary', 'videos']"
Learner181,"['real life application', 'videos', 'quiz']","['real life application', 'additional reading material', 'videos']","['quiz', 'commentary', 'videos']","['videos', 'self-assesment', 'exmaple']","['exmaple', 'self-assesment', 'real life application']"
Learner182,"['self-assesment', 'videos', 'additional reading material']","['videos', 'additional reading material', 'commentary']","['videos', 'quiz', 'additional reading material']","['real life application', 'self-assesment', 'commentary']","['exmaple', 'additional reading material', 'real life application']"
Learner183,"['additional reading material', 'exmaple', 'real life application']","['additional reading material', 'quiz', 'real life application']","['additional reading material', 'self-assesment', 'quiz']","['commentary', 'self-assesment', 'quiz']","['real life application', 'videos', 'self-assesment']"
Learner184,"['commentary', 'additional reading material', 'quiz']","['additional reading material', 'videos', 'self-assesment']","['real life application', 'quiz', 'exmaple']","['additional reading material', 'exmaple', 'quiz']","['real life application', 'quiz', 'commentary']"
Learner185,"['real life application', 'quiz', 'self-assesment']","['additional reading material', 'real life application', 'self-assesment']","['commentary', 'real life application', 'self-assesment']","['commentary', 'videos', 'exmaple']","['quiz', 'self-assesment', 'videos']"
Learner186,"['self-assesment', 'additional reading material', 'quiz']","['real life application', 'commentary', 'additional reading material']","['exmaple', 'videos', 'commentary']","['self-assesment', 'exmaple', 'additional reading material']","['commentary', 'real life application', 'videos']"
Learner187,"['additional reading material', 'quiz', 'real life application']","['quiz', 'exmaple', 'commentary']","['additional reading material', 'self-assesment', 'videos']","['self-assesment', 'additional reading material', 'commentary']","['additional reading material', 'videos', 'exmaple']"
Learner188,"['exmaple', 'commentary', 'quiz']","['quiz', 'videos', 'additional reading material']","['videos', 'commentary', 'quiz']","['commentary', 'self-assesment', 'videos']","['exmaple', 'self-assesment', 'quiz']"
Learner189,"['videos', 'quiz', 'additional reading material']","['commentary', 'quiz', 'real life application']","['exmaple', 'real life application', 'self-assesment']","['quiz', 'additional reading material', 'real life application']","['quiz', 'additional reading material', 'videos']"
Learner190,"['commentary', 'quiz', 'exmaple']","['videos', 'commentary', 'additional reading material']","['real life application', 'videos', 'additional reading material']","['self-assesment', 'real life application', 'exmaple']","['self-assesment', 'videos', 'exmaple']"
Learner191,"['quiz', 'exmaple', 'videos']","['videos', 'self-assesment', 'quiz']","['exmaple', 'real life application', 'additional reading material']","['self-assesment', 'additional reading material', 'exmaple']","['videos', 'additional reading material', 'commentary']"
Learner192,"['commentary', 'additional reading material', 'quiz']","['commentary', 'quiz', 'additional reading material']","['commentary', 'self-assesment', 'additional reading material']","['videos', 'real life application', 'additional reading material']","['videos', 'exmaple', 'quiz']"
Learner193,"['real life application', 'commentary', 'self-assesment']","['commentary', 'real life application', 'exmaple']","['quiz', 'real life application', 'additional reading material']","['videos', 'quiz', 'exmaple']","['exmaple', 'additional reading material', 'self-assesment']"
Learner194,"['commentary', 'videos', 'quiz']","['exmaple', 'commentary', 'real life application']","['quiz', 'commentary', 'additional reading material']","['commentary', 'videos', 'self-assesment']","['commentary', 'quiz', 'self-assesment']"
Learner195,"['commentary', 'videos', 'quiz']","['real life application', 'quiz', 'self-assesment']","['additional reading material', 'real life application', 'exmaple']","['quiz', 'exmaple', 'additional reading material']","['real life application', 'additional reading material', 'self-assesment']"
Learner196,"['commentary', 'quiz', 'exmaple']","['self-assesment', 'quiz', 'exmaple']","['videos', 'commentary', 'quiz']","['exmaple', 'commentary', 'additional reading material']","['self-assesment', 'additional reading material', 'commentary']"
Learner197,"['quiz', 'additional reading material', 'videos']","['real life application', 'exmaple', 'quiz']","['self-assesment', 'real life application', 'additional reading material']","['videos', 'commentary', 'additional reading material']","['real life application', 'commentary', 'self-assesment']"
Learner198,"['exmaple', 'videos', 'real life application']","['real life application', 'exmaple', 'quiz']","['real life application', 'commentary', 'additional reading material']","['quiz', 'commentary', 'exmaple']","['additional reading material', 'self-assesment', 'exmaple']"
Learner199,"['videos', 'exmaple', 'self-assesment']","['real life application', 'quiz', 'additional reading material']","['quiz', 'self-assesment', 'real life application']","['self-assesment', 'exmaple', 'real life application']","['commentary', 'exmaple', 'videos']"
Learner200,"['commentary', 'real life application', 'self-assesment']","['exmaple', 'videos', 'commentary']","['self-assesment', 'exmaple', 'real life application']","['self-assesment', 'quiz', 'additional reading material']","['videos', 'commentary', 'additional reading material']"
Learner201,"['real life application', 'additional reading material', 'self-assesment']","['videos', 'real life application', 'exmaple']","['commentary', 'quiz', 'self-assesment']","['self-assesment', 'exmaple', 'quiz']","['additional reading material', 'exmaple', 'self-assesment']"
Learner202,"['exmaple', 'self-assesment', 'real life application']","['quiz', 'exmaple', 'videos']","['quiz', 'videos', 'exmaple']","['commentary', 'self-assesment', 'videos']","['quiz', 'videos', 'exmaple']"
Learner203,"['self-assesment', 'videos', 'real life application']","['commentary', 'exmaple', 'additional reading material']","['quiz', 'real life application', 'additional reading material']","['videos', 'additional reading material', 'real life application']","['commentary', 'videos', 'additional reading material']"
Learner204,"['real life application', 'quiz', 'commentary']","['exmaple', 'self-assesment', 'real life application']","['commentary', 'exmaple', 'quiz']","['exmaple', 'additional reading material', 'commentary']","['additional reading material', 'real life application', 'quiz']"
Learner205,"['self-assesment', 'real life application', 'videos']","['videos', 'real life application', 'quiz']","['exmaple', 'commentary', 'videos']","['additional reading material', 'real life application', 'exmaple']","['quiz', 'videos', 'commentary']"
Learner206,"['quiz', 'commentary', 'real life application']","['quiz', 'exmaple', 'self-assesment']","['additional reading material', 'commentary', 'exmaple']","['self-assesment', 'videos', 'exmaple']","['additional reading material', 'quiz', 'real life application']"
Learner207,"['additional reading material', 'quiz', 'exmaple']","['videos', 'real life application', 'quiz']","['exmaple', 'videos', 'commentary']","['self-assesment', 'quiz', 'real life application']","['commentary', 'self-assesment', 'additional reading material']"
Learner208,"['exmaple', 'self-assesment', 'quiz']","['self-assesment', 'exmaple', 'additional reading material']","['exmaple', 'additional reading material', 'videos']","['commentary', 'additional reading material', 'quiz']","['exmaple', 'real life application', 'videos']"
Learner209,"['videos', 'self-assesment', 'quiz']","['videos', 'commentary', 'self-assesment']","['videos', 'commentary', 'additional reading material']","['self-assesment', 'additional reading material', 'real life application']","['quiz', 'commentary', 'real life application']"
Learner210,"['additional reading material', 'quiz', 'self-assesment']","['real life application', 'additional reading material', 'quiz']","['videos', 'quiz', 'real life application']","['quiz', 'commentary', 'real life application']","['real life application', 'quiz', 'self-assesment']"
Learner211,"['commentary', 'real life application', 'self-assesment']","['additional reading material', 'commentary', 'exmaple']","['videos', 'quiz', 'additional reading material']","['quiz', 'self-assesment', 'real life application']","['real life application', 'exmaple', 'commentary']"
Learner212,"['exmaple', 'real life application', 'additional reading material']","['additional reading material', 'videos', 'self-assesment']","['quiz', 'commentary', 'additional reading material']","['self-assesment', 'real life application', 'quiz']","['real life application', 'quiz', 'commentary']"
Learner213,"['self-assesment', 'videos', 'commentary']","['exmaple', 'videos', 'commentary']","['self-assesment', 'videos', 'commentary']","['videos', 'self-assesment', 'exmaple']","['real life application', 'additional reading material', 'quiz']"
Learner214,"['quiz', 'self-assesment', 'exmaple']","['exmaple', 'real life application', 'additional reading material']","['videos', 'real life application', 'exmaple']","['self-assesment', 'exmaple', 'quiz']","['self-assesment', 'real life application', 'quiz']"
Learner215,"['real life application', 'self-assesment', 'exmaple']","['exmaple', 'additional reading material', 'self-assesment']","['real life application', 'self-assesment', 'videos']","['real life application', 'self-assesment', 'quiz']","['exmaple', 'commentary', 'self-assesment']"
Learner216,"['exmaple', 'additional reading material', 'commentary']","['commentary', 'additional reading material', 'self-assesment']","['commentary', 'self-assesment', 'exmaple']","['additional reading material', 'quiz', 'commentary']","['additional reading material', 'self-assesment', 'commentary']"
Learner217,"['quiz', 'real life application', 'self-assesment']","['quiz', 'commentary', 'videos']","['self-assesment', 'quiz', 'commentary']","['additional reading material', 'quiz', 'commentary']","['exmaple', 'videos', 'quiz']"
Learner218,"['commentary', 'videos', 'exmaple']","['commentary', 'videos', 'real life application']","['self-assesment', 'commentary', 'quiz']","['additional reading material', 'commentary', 'videos']","['self-assesment', 'real life application', 'exmaple']"
Learner219,"['self-assesment', 'real life application', 'exmaple']","['real life application', 'exmaple', 'self-assesment']","['videos', 'exmaple', 'quiz']","['self-assesment', 'videos', 'real life application']","['exmaple', 'videos', 'quiz']"
Learner220,"['commentary', 'additional reading material', 'quiz']","['commentary', 'videos', 'self-assesment']","['self-assesment', 'commentary', 'exmaple']","['quiz', 'additional reading material', 'real life application']","['real life application', 'videos', 'self-assesment']"
Learner221,"['quiz', 'self-assesment', 'commentary']","['commentary', 'real life application', 'self-assesment']","['self-assesment', 'additional reading material', 'quiz']","['commentary', 'exmaple', 'quiz']","['exmaple', 'quiz', 'real life application']"
Learner222,"['videos', 'commentary', 'exmaple']","['quiz', 'commentary', 'self-assesment']","['self-assesment', 'real life application', 'exmaple']","['quiz', 'commentary', 'self-assesment']","['quiz', 'additional reading material', 'commentary']"
Learner223,"['videos', 'additional reading material', 'real life application']","['real life application', 'videos', 'quiz']","['additional reading material', 'videos', 'quiz']","['videos', 'self-assesment', 'additional reading material']","['quiz', 'commentary', 'real life application']"
Learner224,"['self-assesment', 'videos', 'commentary']","['exmaple', 'real life application', 'videos']","['quiz', 'videos', 'commentary']","['exmaple', 'videos', 'quiz']","['videos', 'exmaple', 'quiz']"
Learner225,"['self-assesment', 'exmaple', 'additional reading material']","['videos', 'real life application', 'quiz']","['real life application', 'self-assesment', 'exmaple']","['videos', 'additional reading material', 'exmaple']","['videos', 'exmaple', 'self-assesment']"
Learner226,"['real life application', 'quiz', 'exmaple']","['quiz', 'videos', 'additional reading material']","['additional reading material', 'quiz', 'videos']","['videos', 'quiz', 'real life application']","['self-assesment', 'exmaple', 'additional reading material']"
Learner227,"['commentary', 'quiz', 'exmaple']","['quiz', 'commentary', 'additional reading material']","['self-assesment', 'quiz', 'real life application']","['quiz', 'additional reading material', 'exmaple']","['videos', 'exmaple', 'quiz']"
Learner228,"['self-assesment', 'commentary', 'additional reading material']","['real life application', 'exmaple', 'quiz']","['commentary', 'exmaple', 'additional reading material']","['additional reading material', 'self-assesment', 'exmaple']","['additional reading material', 'videos', 'commentary']"
Learner229,"['exmaple', 'commentary', 'quiz']","['videos', 'exmaple', 'additional reading material']","['videos', 'commentary', 'additional reading material']","['videos', 'exmaple', 'additional reading material']","['videos', 'quiz', 'self-assesment']"
Learner230,"['videos', 'exmaple', 'real life application']","['additional reading material', 'videos', 'exmaple']","['quiz', 'additional reading material', 'real life application']","['quiz', 'self-assesment', 'real life application']","['additional reading material', 'commentary', 'exmaple']"
Learner231,"['real life application', 'commentary', 'exmaple']","['videos', 'commentary', 'exmaple']","['commentary', 'additional reading material', 'self-assesment']","['videos', 'real life application', 'additional reading material']","['exmaple', 'self-assesment', 'additional reading material']"
Learner232,"['exmaple', 'real life application', 'commentary']","['videos', 'real life application', 'self-assesment']","['quiz', 'videos', 'additional reading material']","['quiz', 'exmaple', 'additional reading material']","['self-assesment', 'real life application', 'quiz']"
Learner233,"['quiz', 'commentary', 'self-assesment']","['quiz', 'commentary', 'videos']","['additional reading material', 'videos', 'real life application']","['self-assesment', 'commentary', 'real life application']","['self-assesment', 'videos', 'real life application']"
Learner234,"['videos', 'quiz', 'real life application']","['quiz', 'videos', 'real life application']","['self-assesment', 'commentary', 'quiz']","['exmaple', 'quiz', 'additional reading material']","['videos', 'real life application', 'exmaple']"
Learner235,"['commentary', 'self-assesment', 'additional reading material']","['commentary', 'additional reading material', 'quiz']","['commentary', 'self-assesment', 'exmaple']","['commentary', 'quiz', 'exmaple']","['exmaple', 'self-assesment', 'real life application']"
Learner236,"['self-assesment', 'exmaple', 'videos']","['exmaple', 'commentary', 'self-assesment']","['commentary', 'real life application', 'exmaple']","['real life application', 'exmaple', 'commentary']","['exmaple', 'commentary', 'videos']"
Learner237,"['exmaple', 'videos', 'self-assesment']","['videos', 'commentary', 'exmaple']","['commentary', 'exmaple', 'self-assesment']","['self-assesment', 'commentary', 'videos']","['exmaple', 'quiz', 'self-assesment']"
Learner238,"['videos', 'real life application', 'self-assesment']","['self-assesment', 'commentary', 'real life application']","['videos', 'quiz', 'additional reading material']","['exmaple', 'quiz', 'videos']","['additional reading material', 'quiz', 'videos']"
Learner239,"['self-assesment', 'videos', 'additional reading material']","['videos', 'additional reading material', 'quiz']","['quiz', 'real life application', 'commentary']","['self-assesment', 'commentary', 'exmaple']","['additional reading material', 'commentary', 'self-assesment']"
Learner240,"['additional reading material', 'quiz', 'self-assesment']","['quiz', 'commentary', 'exmaple']","['additional reading material', 'exmaple', 'commentary']","['additional reading material', 'quiz', 'real life application']","['exmaple', 'real life application', 'self-assesment']"
Learner241,"['videos', 'self-assesment', 'commentary']","['videos', 'exmaple', 'quiz']","['real life application', 'additional reading material', 'self-assesment']","['commentary', 'exmaple', 'self-assesment']","['self-assesment', 'real life application', 'videos']"
Learner242,"['real life application', 'exmaple', 'additional reading material']","['additional reading material', 'videos', 'exmaple']","['quiz', 'videos', 'commentary']","['additional reading material', 'videos', 'exmaple']","['quiz', 'self-assesment', 'real life application']"
Learner243,"['exmaple', 'commentary', 'additional reading material']","['additional reading material', 'self-assesment', 'videos']","['self-assesment', 'real life application', 'quiz']","['commentary', 'quiz', 'exmaple']","['videos', 'real life application', 'additional reading material']"
Learner244,"['commentary', 'additional reading material', 'self-assesment']","['exmaple', 'additional reading material', 'videos']","['videos', 'exmaple', 'quiz']","['commentary', 'self-assesment', 'quiz']","['additional reading material', 'videos', 'commentary']"
Learner245,"['real life application', 'exmaple', 'self-assesment']","['real life application', 'additional reading material', 'quiz']","['videos', 'additional reading material', 'commentary']","['quiz', 'real life application', 'additional reading material']","['videos', 'additional reading material', 'self-assesment']"
Learner246,"['self-assesment', 'additional reading material', 'real life application']","['exmaple', 'videos', 'commentary']","['additional reading material', 'self-assesment', 'exmaple']","['additional reading material', 'quiz', 'exmaple']","['quiz', 'videos', 'commentary']"
Learner247,"['additional reading material', 'commentary', 'self-assesment']","['commentary', 'self-assesment', 'videos']","['quiz', 'commentary', 'exmaple']","['commentary', 'exmaple', 'real life application']","['videos', 'commentary', 'quiz']"
Learner248,"['real life application', 'quiz', 'self-assesment']","['videos', 'commentary', 'self-assesment']","['quiz', 'real life application', 'commentary']","['additional reading material', 'commentary', 'videos']","['additional reading material', 'commentary', 'real life application']"
Learner249,"['real life application', 'exmaple', 'commentary']","['videos', 'self-assesment', 'quiz']","['real life application', 'self-assesment', 'exmaple']","['additional reading material', 'commentary', 'quiz']","['videos', 'self-assesment', 'quiz']"
Learner250,"['additional reading material', 'exmaple', 'commentary']","['commentary', 'exmaple', 'quiz']","['videos', 'exmaple', 'self-assesment']","['exmaple', 'self-assesment', 'real life application']","['commentary', 'quiz', 'real life application']"
Learner251,"['additional reading material', 'quiz', 'videos']","['additional reading material', 'quiz', 'real life application']","['additional reading material', 'exmaple', 'self-assesment']","['real life application', 'self-assesment', 'quiz']","['additional reading material', 'real life application', 'commentary']"
Learner252,"['commentary', 'additional reading material', 'real life application']","['quiz', 'commentary', 'exmaple']","['quiz', 'commentary', 'videos']","['videos', 'exmaple', 'quiz']","['videos', 'exmaple', 'real life application']"
Learner253,"['commentary', 'real life application', 'additional reading material']","['quiz', 'self-assesment', 'commentary']","['quiz', 'self-assesment', 'real life application']","['exmaple', 'self-assesment', 'additional reading material']","['exmaple', 'videos', 'additional reading material']"
Learner254,"['real life application', 'self-assesment', 'exmaple']","['real life application', 'self-assesment', 'commentary']","['self-assesment', 'additional reading material', 'quiz']","['exmaple', 'additional reading material', 'self-assesment']","['quiz', 'self-assesment', 'exmaple']"
Learner255,"['self-assesment', 'quiz', 'real life application']","['quiz', 'real life application', 'exmaple']","['additional reading material', 'real life application', 'self-assesment']","['self-assesment', 'quiz', 'additional reading material']","['additional reading material', 'quiz', 'videos']"
Learner256,"['real life application', 'additional reading material', 'videos']","['self-assesment', 'exmaple', 'commentary']","['real life application', 'additional reading material', 'self-assesment']","['videos', 'real life application', 'self-assesment']","['quiz', 'exmaple', 'additional reading material']"
Learner257,"['videos', 'commentary', 'real life application']","['videos', 'real life application', 'self-assesment']","['self-assesment', 'videos', 'additional reading material']","['additional reading material', 'exmaple', 'self-assesment']","['videos', 'exmaple', 'additional reading material']"
Learner258,"['exmaple', 'commentary', 'quiz']","['real life application', 'quiz', 'additional reading material']","['additional reading material', 'videos', 'self-assesment']","['commentary', 'exmaple', 'videos']","['quiz', 'exmaple', 'commentary']"
Learner259,"['exmaple', 'quiz', 'commentary']","['real life application', 'additional reading material', 'videos']","['quiz', 'self-assesment', 'additional reading material']","['videos', 'commentary', 'exmaple']","['videos', 'quiz', 'self-assesment']"
Learner260,"['commentary', 'additional reading material', 'self-assesment']","['exmaple', 'quiz', 'real life application']","['self-assesment', 'real life application', 'commentary']","['commentary', 'real life application', 'quiz']","['quiz', 'additional reading material', 'commentary']"
Learner261,"['exmaple', 'quiz', 'commentary']","['commentary', 'videos', 'real life application']","['commentary', 'videos', 'additional reading material']","['additional reading material', 'exmaple', 'real life application']","['self-assesment', 'additional reading material', 'commentary']"
Learner262,"['additional reading material', 'real life application', 'exmaple']","['exmaple', 'videos', 'quiz']","['real life application', 'quiz', 'self-assesment']","['commentary', 'real life application', 'additional reading material']","['real life application', 'commentary', 'additional reading material']"
Learner263,"['real life application', 'videos', 'exmaple']","['real life application', 'additional reading material', 'commentary']","['real life application', 'self-assesment', 'exmaple']","['additional reading material', 'self-assesment', 'commentary']","['real life application', 'commentary', 'quiz']"
